year_month,month_name,transaction_type,transaction_count,total_revenue,avg_revenue_per_txn,line_items
2015-01,January,Inpatient,1,194780.0,194780.0,6
2015-03,March,Inpatient,68,5380944.0,79131.5294117647,145
2015-03,March,Outpatient,43,32414657.8064,753829.2513116279,248
2015-04,April,Inpatient,10,4008223.6950000003,400822.3695,41
2015-04,April,Outpatient,190,14620431.350000001,76949.63868421053,600
2015-08,August,Inpatient,2437,236719690.14271227,97135.69558584817,6462
2015-08,August,Outpatient,3784,208549099.29003683,55113.39833246221,12127
2015-09,September,Inpatient,1996,432703138.0419673,216785.13929958266,8110
2015-09,September,Outpatient,3017,513130760.32596743,170079.8012349907,11214
